id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit
100,2,5,7,1,0,0,5,1,2,1,4,3,5,5,4,0.54,0,4,4,3,1,2,1,4,1887,0,6,0,0,0,0,4,3,0,5,2,1,1,1,1,0,2,42,4,1,0,0,0,1,1,1,3,2,4,2,1,2,3,4,2,3,5,2,2,1,4,0,0,0,0,0,0,0,0,0,1,0,2,2,4,0,3,3,1,5,0,0,5,1,4,1,1,5,1,1,0,0,6.67,186,0,0,0,,,,1,0,1,1,0,1,1,2,1,1
102,4,5,7,1,0,0,5,4,3,1,5,2,4,5,4,0.52,0,4,4,2,1,3,3,4,1985,0,6,0,0,0,0,2,3,0,4,3,1,1,1,1,0,3,63,3,1,0,0,0,1,1,2,2,2,3,2,1,2,1,3,2,3,5,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,2,4,1,3,3,2,4,2,2,5,1,4,1,1,6,1,7,0,1,6.56,81,0,0,0,,,,1,0,1,1,0,1,0,2,0,1
105,3,5,7,1,3,0,5,5,3,5,3,6,5,5,4,0.82,0,4,4,3,1,3,3,4,1408,2,6,0,,,0,2,2,3,1,0,1,0,2,2,3,3,192,4,3,2,1,1,1,1,5,1,1,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,3,1,4,0,1,,,,,0,,,,2,0,0,0,2,0,2,0,2,0
110,3,5,7,1,3,0,4,5,3,2,4,5,6,5,4,0.23,0,4,4,2,1,3,1,4,1624,0,6,0,,,0,2,2,4,2,1,0,1,0,3,4,1,72,3,1,0,0,0,1,2,3,3,2,2,2,1,3,4,3,3,2,5,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,2,3,1,4,1,2,5,2,4,3,2,3,1,7,0,0,5.48,,0,0,0,,,,2,0,0,0,2,0,2,0,2,0
111,3,4,6,4,3,0,4,1,2,3,6,6,2,5,4,0.16,0,4,4,3,1,3,3,4,2075,0,6,0,1,,0,1,2,3,1,0,3,0,3,2,2,2,160,1,2,3,1,2,1,2,4,3,1,1,1,1,2,3,2,1,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,2,1,5,0,0,4,1,4,1,1,0,1,7,1,0,7.12,,0,0,0,,,,1,0,0,0,2,0,2,0,2,1
113,3,5,7,1,3,0,4,5,3,5,5,4,6,5,4,0.7,0,4,4,2,1,3,3,4,1579,2,6,0,,,0,2,4,0,1,1,1,1,0,3,3,3,64,4,3,2,2,2,1,2,3,2,2,3,1,1,2,4,3,3,1,2,3,3,3,5,1,4,3,5,3,1,0,0,2,0,0,2,2,2,1,2,3,1,4,2,2,5,1,4,1,1,4,1,3,0,1,5.95,105,0,0,0,,,,1,0,1,1,1,0,1,0,1,0
114,4,5,7,1,3,0,5,5,3,5,3,6,6,3,4,0.51,0,4,4,3,1,3,3,4,1698,0,6,0,,,0,2,2,3,1,0,2,2,2,3,3,3,224,1,3,2,1,1,1,2,5,2,2,1,1,1,3,3,2,1,4,4,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0,1,3.9,90,0,0,0,,,,1,0,1,0,0,0,1,0,0,0
127,4,5,7,1,3,0,4,5,3,4,3,4,6,4,4,0.51,0,4,4,2,1,3,3,3,1624,2,6,0,,,0,2,2,4,0,0,0,0,0,4,2,1,0,4,3,1,2,2,1,2,4,2,2,3,1,1,1,3,2,3,2,2,2,3,2,5,1,3,1,1,2,1,0,0,2,0,0,2,1,4,0,1,3,1,5,0,0,5,1,3,1,0,6,1,7,0,2,6.07,41,0,,0,0,0,0,1,0,1,1,0,0,1,0,1,0
128,4,5,7,1,0,0,4,5,3,4,5,3,6,5,4,0.76,0,4,4,3,1,3,3,4,1579,0,6,0,,,0,2,1,3,1,0,1,0,1,4,2,1,192,3,1,0,0,0,1,1,4,2,2,1,1,2,3,3,2,2,4,2,2,2,2,5,1,5,4,5,3,1,0,0,2,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.96,230,0,0,0,,,,2,0,0,0,2,0,2,0,2,0
12,4,5,7,1,3,0,4,5,3,4,6,4,6,5,4,0.66,0,0,0,2,1,3,2,4,1357,0,6,0,,,0,2,2,3,1,0,2,1,2,3,3,2,128,4,3,1,1,1,1,2,4,2,2,1,1,2,1,3,2,2,2,2,2,5,2,5,1,5,3,5,2,1,0,1,2,1,0,2,1,2,0,1,3,1,5,0,0,5,1,4,1,0,6,1,7,0,1,4.16,52,1,0,0,,,,1,0,1,1,1,2,1,2,1,2
131,2,5,7,1,3,0,4,5,3,5,5,5,5,3,4,0.46,0,4,4,3,1,0,3,5,1859,2,6,0,,,0,2,2,0,1,0,1,0,1,2,5,1,0,4,4,1,1,1,1,2,4,3,2,1,1,1,2,3,2,4,1,3,2,2,2,5,1,3,5,5,2,1,0,0,3,1,0,2,1,3,0,3,3,1,5,0,0,5,2,4,1,1,6,1,7,0,0,3.6,,,,0.5,,,,1,0,1,1,1,1,1,2,1,0
133,4,5,7,1,3,0,4,5,3,5,3,6,5,3,4,0.53,1,4,4,3,1,3,3,5,1677,2,6,0,,,0,2,1,3,1,0,1,1,3,3,2,3,160,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,2,2,4,3,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.89,55,0,0,0,0,0,0,2,0,0,0,2,2,2,2,2,2
134,4,5,7,1,3,0,5,5,3,4,3,6,6,3,4,0.81,0,4,4,3,1,3,3,4,1464,0,6,0,,,0,2,1,3,1,0,1,0,2,3,2,3,192,4,2,1,1,1,1,1,5,1,1,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,1,5,0,0,5,1,4,1,1,6,1,7,0,1,4.04,48,,,0,,,,1,0,0,0,2,0,2,0,2,0
136,5,5,7,1,3,0,4,4,3,4,1,1,4,2,4,0.59,0,4,4,2,1,3,3,4,1985,0,6,0,1,,0,1,2,3,1,0,1,0,1,4,2,2,160,4,2,2,1,2,1,2,4,1,2,1,1,1,1,4,4,2,1,5,2,2,2,2,1,4,5,5,3,1,1,0,2,1,0,1,2,5,0,1,3,1,5,0,0,5,1,4,1,2,6,1,7,0,1,6.85,45,0,0,0,,,,0,0,2,1,1,1,1,2,0,1
137,1,5,7,2,1,1,5,4,3,6,7,5,5,3,2,0.04,0,4,4,2,1,2,2,5,1799,2,6,0,,,,4,3,0,1,1,0,4,0,2,2,1,112,4,1,0,0,0,1,5,3,1,1,2,1,1,2,4,2,3,4,5,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,3,3,2,5,0,0,4,1,4,1,1,6,1,7,,1,,,,,0,,,,0,0,2,2,0,1,1,2,0,1
141,1,4,6,2,3,2,3,5,3,5,7,4,6,2,4,0.079,0,4,4,1,3,2,1,0,1666,2,6,0,,,,0,3,0,2,0,1,5,0,1,1,0,96,3,1,0,0,0,1,5,3,0,2,4,1,1,3,4,3,3,3,5,2,2,2,1,1,0,3,5,1,1,0,0,3,1,0,1,1,5,0,3,3,3,5,0,0,4,6,4,1,0,6,1,7,0,0,,,,,0.666666667,,,,0,1,2,2,0,1,0,2,0,1
145,2,5,7,1,3,0,4,1,2,4,7,6,6,4,0,0.16,0,4,4,1,1,2,3,3,1632,2,6,0,,,0,2,3,0,1,1,0,5,0,1,2,1,72,3,2,3,1,2,1,5,2,1,2,2,3,1,3,3,4,2,2,2,2,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,1,2,2,5,0,0,4,1,4,2,2,6,1,7,0,2,6.42,105,0,0,0,,,,0,0,2,2,0,1,1,2,1,1
147,4,5,7,4,3,0,4,1,1,4,4,6,6,4,4,0.01,0,4,4,1,1,3,3,4,1516,2,6,0,,,0,4,3,4,0,0,0,4,0,2,2,1,64,4,2,3,2,2,1,2,1,1,1,2,1,2,2,3,4,2,1,3,4,2,3,3,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,1,3,1,4,2,3,5,1,4,1,2,6,1,7,0,2,6.97,183,0,1,0,,,,1,0,2,2,1,1,1,2,1,2
148,2,5,7,1,3,0,4,1,1,2,6,6,6,5,4,0.41,0,4,4,1,2,2,3,4,1348,1,6,0,,,0,4,3,4,0,0,0,4,0,2,2,1,64,4,2,4,1,2,1,2,2,1,1,2,1,1,1,4,3,2,1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,2,2,1,4,1,3,5,1,4,2,2,2,1,7,0,0,7.89,194,0,0,0,,,,0,1,2,2,0,1,1,2,0,2
153,2,6,6,1,3,0,3,3,3,5,7,5,6,4,4,0.42,0,4,4,2,1,3,1,4,1677,2,6,1,0,,0,4,4,3,0,0,1,1,1,2,4,1,0,3,4,1,3,1,1,2,4,1,2,1,1,1,2,3,1,2,3,4,2,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,,,0,,0.5,,,,0,0,2,2,0,1,1,2,0,1
154,4,5,7,1,3,0,5,5,3,5,3,4,6,1,4,0.72,0,4,4,3,1,3,3,4,1455,0,5,0,1,,0,1,2,3,1,0,1,0,1,1,4,1,192,4,4,2,1,2,1,1,5,2,2,1,1,1,1,3,4,3,1,1,2,5,1,5,1,5,4,5,3,1,0,0,2,1,0,1,1,1,0,1,2,1,5,0,0,5,1,4,1,1,1,1,4,0,1,6.43,80,0,0,0,0,0,0,0,0,2,0,1,1,1,2,1,0
155,4,5,7,1,3,0,4,4,3,3,7,6,6,4,4,0.31,1,4,4,2,1,3,3,4,1609,2,6,0,,,0,4,4,3,1,0,1,1,1,1,5,1,232,0,4,1,2,2,1,2,2,2,2,1,1,1,2,3,3,4,1,3,2,2,3,5,1,4,4,5,2,1,0,1,2,1,0,1,1,3,0,1,2,1,5,0,0,5,1,4,2,2,6,1,7,0,1,6.28,160,1,0,0,,,,0,0,2,2,1,2,1,2,1,2
156,2,4,7,4,3,0,4,3,3,5,7,5,6,5,2,0.09,1,4,4,1,1,3,3,4,1516,2,6,0,,,0,4,4,3,0,0,0,0,0,2,5,1,72,4,4,2,4,1,1,2,1,1,1,1,1,1,1,3,2,4,1,5,2,2,1,4,1,3,4,3,1,1,0,0,2,1,0,1,1,3,0,1,3,1,4,2,2,4,1,4,1,0,6,1,7,0,1,6.02,140,0,1,0,,,,0,0,2,2,0,2,1,2,1,2
160,1,5,7,2,3,0,4,2,2,3,7,4,6,5,4,0.57,1,4,4,2,2,2,3,5,1329,2,6,0,,,0,4,4,3,0,0,0,2,0,2,5,1,232,3,4,3,3,2,1,2,1,1,1,2,1,1,2,3,4,2,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,2,2,3,1,3,4,1,4,1,1,4,1,7,0,0,6.92,176,0,0,0.333333333,,,,0,2,2,2,0,2,1,2,1,2
163,5,5,7,1,0,0,4,5,3,5,3,2,6,5,4,0.54,0,4,4,2,1,3,1,4,1486,0,6,0,,,0,4,3,4,4,0,2,2,1,1,1,2,232,3,1,0,0,0,1,3,4,3,2,1,2,1,3,4,3,3,2,5,2,2,2,5,0,0,0,0,0,0,0,0,0,1,0,1,2,5,1,3,2,1,5,0,0,5,1,4,1,0,6,1,7,0,1,6.16,134,0,0,0,,,,0,0,2,1,0,1,1,2,1,1
167,1,5,6,1,0,0,4,1,1,5,7,5,6,5,1,0.39,0,4,4,2,1,3,2,4,1538,2,6,0,,,0,4,3,0,2,3,0,2,0,0,0,3,94,4,1,0,0,0,1,3,3,3,1,1,2,1,2,5,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,3,1,2,4,2,2,5,1,4,1,1,6,0,7,0,0,6.62,,,,0,,,,1,2,1,2,1,0,0,0,0,2
169,3,5,7,1,0,0,4,4,3,5,7,6,6,5,4,0.43,0,4,4,2,1,3,3,4,1342,0,6,0,,,0,4,3,0,5,2,1,1,1,1,0,2,63,3,1,0,0,0,1,2,2,3,2,4,2,1,2,3,4,2,3,5,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,2,5,0,2,3,2,5,0,0,5,1,4,1,1,6,1,7,0,0,7.35,380,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,1
16,1,5,7,1,3,0,5,5,3,2,6,5,6,5,4,0.6,0,4,4,1,1,3,3,4,1418,0,6,0,,,0,2,4,3,1,0,1,0,1,2,4,1,232,3,4,2,2,2,1,2,3,3,2,1,1,1,2,3,4,2,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,2,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.17,33,,,0,,,,0,0,2,1,0,1,1,2,1,1
174,1,5,7,4,3,1,4,4,3,5,7,4,6,2,4,0.0787,0,4,4,1,2,3,3,6,1670,2,6,0,,,,4,2,0,2,0,4,0,0,3,2,2,224,2,2,1,1,1,1,1,5,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,2,5,0,0,4,6,4,1,1,6,1,7,,0,,,,,0,,,,1,0,0,0,0,0,2,0,2,0
175,4,5,7,4,2,1,4,2,3,5,6,4,6,2,3,0.1969,0,4,4,2,2,3,2,4,1697,2,6,0,,,0,2,2,4,1,0,0,1,0,4,3,1,224,4,3,4,2,1,1,3,3,1,1,3,1,1,3,2,2,4,3,2,1,3,2,3,1,5,4,5,3,1,0,0,1,1,0,1,2,4,0,3,3,1,4,2,1,5,1,4,1,1,6,1,7,,0,,,0,1,0,0,0,0,0,1,2,2,0,1,1,2,0,1
177,4,5,7,2,3,0,4,5,3,2,4,4,6,5,4,0.77,0,4,4,3,1,3,3,4,1512,0,6,0,,,0,4,2,0,0,0,0,0,1,1,5,0,192,4,5,2,1,2,1,1,5,1,1,1,1,1,1,3,3,3,2,1,2,2,2,5,1,6,3,4,1,1,0,0,0,0,0,5,0,0,1,3,3,1,4,1,2,5,2,4,3,2,1,1,7,0,0,6.31,63,0,0,0.666666667,,,,2,1,0,0,2,0,2,0,2,0
178,1,5,7,1,3,0,4,5,3,5,7,5,6,1,4,0.58,0,4,4,4,1,3,3,4,1551,0,6,0,,,0,1,1,3,2,0,3,0,3,1,2,1,160,1,2,2,1,1,1,1,5,1,2,1,1,0,2,3,2,1,5,2,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.63,58,,,0,,,,2,1,0,0,2,0,2,0,2,0
17,2,5,7,1,3,0,5,5,3,3,7,5,6,5,4,0.55,0,4,4,1,1,3,3,3,1407,0,6,0,,,0,2,4,3,1,0,1,1,1,2,4,2,232,4,4,2,1,1,1,2,2,2,2,3,1,2,2,4,4,3,1,2,2,2,2,4,0,0,0,0,0,0,0,0,0,1,0,2,1,3,0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.35,63,1,,0,,,,1,0,1,1,0,1,1,2,2,1
189,1,6,7,1,3,0,4,5,3,5,7,5,6,1,4,0.58,0,4,4,3,1,3,3,4,1551,0,6,0,,,0,2,1,3,1,0,1,0,3,0,3,2,128,4,3,1,1,1,1,1,5,1,1,1,1,1,2,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.53,51,,,0,,,,2,0,0,0,2,0,2,0,2,0
18,3,6,7,1,3,0,5,5,3,5,3,5,6,5,4,0.01,0,4,4,2,1,3,2,4,1426,2,6,0,0,,0,2,4,3,0,0,0,0,0,3,4,3,168,4,4,3,1,2,1,2,2,2,2,2,2,1,2,4,3,3,2,3,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,3,1,5,0,0,5,1,4,1,1,6,1,7,,0,6.02,,,,0,,,,1,0,1,1,0,0,1,0,1,0
191,3,5,6,2,3,0,3,4,3,5,4,3,6,4,4,0.47,0,4,4,3,1,3,3,4,1692,0,6,0,,,0,4,1,3,1,0,1,0,2,1,4,2,128,1,3,3,1,1,1,2,5,3,2,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,2,1,6,1,7,0,0,4.65,52,,,0,,,,2,0,0,0,1,0,2,0,2,0
192,1,6,7,1,3,0,4,4,3,5,7,6,6,4,4,0.45,0,4,4,4,1,3,3,4,1358,0,6,0,1,,0,1,1,3,1,0,2,0,2,2,4,1,128,3,4,2,1,1,1,1,5,1,2,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,4.85,64,,,0,,,,2,0,0,0,2,0,2,0,2,0
208,3,4,1,4,3,2,5,1,2,4,4,6,1,2,2,0.001,0,4,4,2,2,2,2,6,1945,2,6,0,,,,4,3,0,0,0,0,5,0,2,1,3,80,3,2,3,2,2,1,5,4,1,0,4,1,1,3,3,2,4,3,5,1,1,1,4,1,1,0,0,0,0,0,0,1,0,0,1,2,4,0,3,3,1,3,2,2,5,1,4,1,1,6,1,7,,0,,,,,0,0,0,0,0,1,2,2,0,0,2,1,0,1
209,2,4,5,6,0,0,4,1,2,5,5,4,2,5,4,0.06,0,4,4,2,2,3,2,4,1950,2,6,1,0,,,4,3,0,2,1,1,4,1,2,0,1,224,1,3,3,1,1,2,4,2,1,1,2,1,1,2,2,0,2,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,3,1,3,4,1,4,3,2,5,1,7,,0,,,,,0.5,,,,0,1,1,2,0,0,1,1,0,1
210,3,5,5,6,3,0,4,3,2,4,4,4,2,5,4,0.096,0,4,4,1,1,3,3,6,2092,0,6,1,0,,0,2,1,3,0,0,0,1,2,3,3,3,192,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,,,,,0,,,,2,0,0,0,1,0,2,0,2,1
212,3,4,5,4,0,0,5,1,1,4,4,4,1,5,4,0.08,0,4,4,1,1,3,2,4,2254,2,6,0,0,,,4,3,0,3,0,3,0,2,0,2,2,224,3,2,1,1,2,1,2,2,1,2,4,3,1,3,3,2,2,4,5,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,2,1,2,5,0,0,4,1,4,1,0,6,1,7,,0,,,,1,0.5,,,,0,0,2,2,0,0,2,1,0,2
213,4,5,5,6,0,0,4,1,1,5,4,4,2,5,1,0.07,0,4,4,2,1,3,1,4,2272,1,6,1,1,,,4,3,0,0,2,0,4,0,2,2,2,80,1,3,0,0,0,1,3,1,1,2,4,1,1,3,1,2,4,5,4,2,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,5,0,0,5,1,4,1,1,3,3,5,,0,,,,,0.333333333,,,,0,2,1,2,0,1,1,2,1,2
214,3,4,6,2,0,0,3,4,3,1,5,3,3,5,2,0.01,0,4,2,2,1,2,1,4,2241,0,6,0,0,,,2,3,0,0,0,0,2,0,4,3,2,64,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,2,5,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,2,3,1,4,4,1,4,3,0,6,1,7,,0,,,,,0.5,,,,0,1,2,2,0,1,1,2,0,2
215,4,5,7,1,0,0,4,1,1,5,4,5,4,5,4,0.19,0,4,4,2,1,2,2,4,2065,2,6,0,0,,,4,3,4,0,0,0,3,0,2,4,1,64,1,4,1,1,1,3,3,1,1,1,2,1,1,2,4,2,2,5,3,2,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,1,5,0,0,5,1,4,3,1,5,1,7,,0,,,,1,0,,,,0,0,2,2,0,1,1,2,1,2
218,5,5,5,2,3,0,3,4,2,5,6,2,1,5,4,0.03,0,4,4,2,1,3,1,4,1893,2,6,1,0,,,4,4,0,0,0,0,2,1,2,4,1,64,1,4,1,3,1,5,2,1,1,1,1,1,1,1,2,2,4,3,4,2,2,2,4,1,4,2,2,2,1,0,0,2,1,0,1,1,2,0,1,1,2,5,0,0,5,1,4,2,2,5,1,7,,1,,,,,0.5,,,,0,0,2,2,0,1,1,2,1,1
219,1,5,6,7,3,0,3,4,2,5,7,5,4,5,4,0.24,0,4,4,2,1,3,3,4,1955,2,6,0,0,0,,1,3,0,2,0,2,2,1,3,2,1,224,1,2,1,1,1,1,2,4,2,2,1,1,1,2,3,2,3,4,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,5,0,0,5,1,4,3,0,6,1,7,0,2,,,,,0,,,,0,0,2,2,0,0,1,0,1,1
220,4,5,5,6,1,0,5,1,1,5,6,3,2,5,4,0.13,0,4,4,1,1,2,2,4,2314,2,6,1,1,1,,3,4,0,0,0,0,0,0,2,5,1,0,4,4,2,4,1,1,2,3,1,1,1,1,3,1,3,1,4,2,3,2,3,1,4,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,1,1,5,0,0,5,1,4,2,0,5,2,3,,0,,,1,,0.5,,,,0,0,2,2,0,1,2,2,1,2
221,4,5,7,1,3,0,4,3,1,5,4,2,3,3,4,0.56,0,4,4,1,3,3,2,3,2254,0,6,0,0,,,0,4,3,0,0,0,0,1,2,5,2,0,3,4,1,3,1,1,2,1,2,1,1,1,1,1,2,1,4,2,4,2,3,2,4,1,4,4,1,3,1,0,1,1,1,0,1,1,3,0,1,3,1,4,2,2,5,1,4,3,0,6,1,7,0,2,,,1,,0.333333333,,,,0,1,2,2,0,1,1,2,0,2
223,4,5,6,4,3,0,4,2,2,4,3,4,3,5,4,0.19,0,4,4,2,1,3,2,3,2118,2,6,0,0,,0,2,4,3,0,0,0,1,0,1,6,0,0,4,5,1,1,1,1,1,1,3,1,1,1,1,2,4,4,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,1,5,0,0,1,1,4,3,1,6,1,7,0,2,,,1,,0.333333333,,,,0,0,2,2,0,0,1,0,1,1
226,2,4,5,4,0,0,4,2,2,4,6,4,2,5,4,0.04,0,4,4,2,1,3,3,3,1950,0,6,1,0,0,,4,3,0,4,0,2,0,1,0,3,0,168,1,2,1,1,2,1,1,4,1,2,2,1,1,3,3,2,1,5,5,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3,1,1,4,2,2,5,1,4,1,0,5,1,7,,0,,,,,0.5,,,,0,0,2,1,0,0,2,0,0,1
